instruction,text,name,definition
3.6.1,Key constant,,An unchanging value representing a key on the keyboard
3.6.1,State,,Information that is remembered by the program
3.6.2,Collision,,When sprites touch or overlap
3.6.2,Multiple assignment,,Assigning more than one variable with the same operator
3.7.1,for loop,,A loop that runs a specific number of times
3.7.1,Loop variable,,A variable whose value changes based on the iteration of a loop
3.7.1,range,,A sequence of integers with a start and an end
3.7.2,Start,,The first value in a range
3.7.2,Step,,The amount that a range counts by
4.1.1,Collection,,A grouping of information
4.1.1,Element,,A value in a collection at a position
4.1.1,For-each loop,,A loop that iterates over each element in a collection
4.1.1,Iterate,,"Operate on the elements of a collection, one at a time in sequential order"
4.1.1,List,,A changeable collection of ordered elements
4.1.2,Index,,The zero-based position of an element in a collection
4.1.2,Length,,The number of elements in a collection
4.2.1,Element query,,A question about an element in a collection
4.2.2,List append,,Add an element to the end of a list
4.2.2,List delete,,Take an element out of a list by its index
4.2.2,List extend,,Copy all elements of one list to the end of another list
4.2.2,List insert,,Add an element to a list at a position
4.2.2,List remove,,Take an element out of a list by its value
4.3.1,Maximum,,The largest value in a collection
4.3.1,Minimum,,The smallest value in a collection
4.3.1,Sort,,Arrange the elements in a collection in ascending order
4.3.2,Identity comparison,,Check whether two different variables refer to the same data
4.3.2,List concatenation,,Create a new list by joining two lists together
4.3.2,List equality comparison,,Check whether two lists contain all of the same elements in the same order
4.3.2,List repetition,,Create a new list from multiple copies of an existing list
4.3.2,Reference,,A name that points to data
4.4.1,Character,,"A single letter, number, punctuation mark, or symbol represented as a string"
4.4.1,Immutable,,Unable to be changed after it is created
4.4.1,Substring,,Zero or more sequential characters in a string
4.4.2,Slice,,Create a new collection by copying a sequence of elements from an existing collection
4.5.1,Escape sequence,,Two or more sequential characters that have special meaning when combined
4.5.1,List join,,Join the elements of a list into a string
4.5.1,String separator,,A substring that is used to mark a division between other strings
4.5.1,String split,,Split a string into a list of substrings
4.5.1,Whitespace,,"A character used for spacing, such as a space, tab, or newline"
4.5.2,Case sensitive,,Treating uppercase and lowercase letters as distinct
4.5.2,String replace,,Create a new string by replacing all occurrences of a substring with a new substring
5.1.1,Tuple,,An unchangeable collection of ordered elements
5.1.2,Collection unpacking,,Assigning the elements of a collection to individual variables in a single statement
5.2.1,Dictionary,,A collection that pairs two corresponding sets of data
5.2.1,Key-value pair,,A unique piece of data (the key) used to look up another piece of data (the value)
5.2.2,Dictionary item,,A key-value pair represented as a tuple
5.3.1,Nested collection,,A collection that contains other collections
5.3.1,Data model,,The way data is organized to represent the relationships between information
5.3.1,Sequential bracket notation,,A series of keys or indexes each surrounded by square brackets
5.4.1,Server,,A program that provides access to information over a computer network
5.4.1,Client,,A program that gets information from a server and uses it to complete a task
5.4.1,URL,URL (Uniform Resource Location),The address of information on a computer network
5.4.1,HTTP,HTTP (HyperText Transfer Protocol),A set of rules for sending and receiving information over a computer network
5.4.1,Request,,"A message sent from a client to a server, asking for information"
5.4.1,Response,,A reply message from a server back to a client containing information that was requested by the client
5.4.1,JSON,JSON (JavaScript Object Notation),A common data format used to exchange information over a computer network
5.4.2,Web API,Web API (Web Application Programming Interface),The set of rules for interacting with an HTTP server on the internet
5.4.2,Request parameter,,Additional information sent with a request as part of the URL
5.4.2,Response status code,,An integer value that indicates whether a request was successful and why
5.4.2,Rate limit,,The number of requests a server will accept from one client within a time period
5.4.2,API key,,A unique identifying value that proves a client is allowed to make a request to a server
6.1.1,Function call,,Running the code of an action defined elsewhere
6.1.1,Function definition,,"A named, self-contained block of code that can be used on-demand in a program"
6.1.1,Abstraction,,The process of hiding the details of how a program works
6.1.1,Parameter,,A placeholder variable in a function that receives the value of an input argument when the function is called
6.1.1,Function signature,,A function's declaration containing its name and its parameters in order
6.1.2,Return statement,,Immediately end a function and return to the location of the function call
6.1.2,Recursive function,,A function that calls itself
6.2.1,Scope,,The area of a program where a name is valid
6.2.1,Namespace,,An internal dictionary that tracks names along with their values
6.2.1,Global namespace,,A namespace accessible throughout a Python file
6.2.1,Local namespace,,A namespace only accessible within a function that is running
6.2.1,Side effect,,A change that is observable after running a function besides returning a value
6.2.1,Name shadowing,,Re-declaring a name that already exists in an outer namespace
6.2.2,Pass-by-reference,,The process where a function receives a reference to a value rather than the value itself
6.IS.1,Docstring,,A string literal that provides documentation for the code that follows
6.3.1,Positional argument,,An argument that fills in a parameter based on its order
6.3.1,Keyword argument,,An argument that fills in a parameter by referencing its name
6.3.1,Default parameter value,,A value that fills in a parameter when no argument is given
6.3.2,Variable-length parameter,,A parameter that can accept zero or more arguments and converts them to a collection
6.3.2,Variable-length arguments,,Zero or more arguments sent to a variable-length parameter in a function call
7.1.1,Computer storage,,The components in a computer used to store long-term data
7.1.1,Computer memory,,The components in a computer used to hold data while a program is running
7.1.1,File,,A named container for information that is saved in a computer's long-term storage
7.1.1,File extension,,A set of characters at the end of a filename that describes the format of the file's content
7.1.1,File object,,A reference to an opened file within a program
7.1.1,File read,,Load data from an opened file
7.1.1,with statement,,Opens a file and automatically closes it when finished
7.1.2,File position,,"The next starting location when accessing the content of an opened file, stored as part of the file object"
7.1.2,Line,,A section of a text file that ends with a newline character
7.1.2,EOF,EOF (End-of-file),An empty string indicating that there is no more data to be read from an opened file
7.2.1,File mode,,Specifies how the program can interact with a file while it is open
7.2.1,Read mode,,A mode that allows the data in an opened file to be accessed by a program
7.2.1,Write mode,,A mode that causes new data to replace existing data in an opened file
7.2.1,File write,,Store data in an opened file
7.2.1,Append mode,,A mode that causes new data to be added to the end of an opened file
7.3.1,Structured text,,Data that is formatted as text using well-defined rules
7.3.1,CSV,CSV (Comma-separated values),A common data format used to store values separated by commas
7.3.2,Serialize,,Create a structured text representation of Python data
7.3.2,Deserialize,,Create Python data from structured text
7.4.1,Sound,,An instance created from an audio file that can be played in a program
8.1.1,File system,,The computer system that controls how data is saved and retrieved from long-term storage
8.1.1,Directory,,A named container in a file system used to store files and other directories
8.1.1,Parent directory,,The directory that contains a given directory
8.1.1,Path,,A string that describes the location of a file or directory in a file system
8.1.1,OS,OS (Operating system),The software that manages all processes and files on a computer
8.1.2,File permissions,,Allowed actions on a file or directory based on the user's identity
8.2.1,Module,,A file containing code for another Python file to use
8.2.1,Package,,A directory containing one or more related modules
8.2.1,Encapsulation,,The process of grouping related code together
8.2.1,Private,,Intended only for use within the current scope
8.2.1,Alias,,A name that replaces a previous name
8.3.1,Exception,,A runtime error that will cause the program to crash if not handled
8.3.1,Exception handling,,A user-defined action that should occur when a program encounters an exception
8.3.2,Exception class,,The type of an exception
8.3.2,Exception instance,,An instance containing information about an exception that occurred
8.3.2,Exception hierarchy,,"The relationship between Python exception classes, where some are more specific versions of others"
8.4.1,Syntactic sugar,,Alternate syntax that "sweetens" code by making it easier to read or write
8.4.1,Iterable,,Any Python data type that can be used in a for loop
8.4.1,Item,,A unit of data contained within an iterable
8.4.1,Comprehension,,An expression that creates a new collection from the items in an existing iterable
9.1.1,Object,,A thing or idea that can be represented in code as a combination of data and behaviors
9.1.1,Class definition,,A block of code that defines the data and behaviors of an object as a named data type
9.1.1,Class constructor,,A special function that is called to create a new class instance
9.1.1,self,,A method parameter that references the instance that called it
9.1.1,OOP,OOP (Object-Oriented Programming),A programming approach that represents objects in code
9.2.1,Magic method,,A method that overrides some built-in Python functionality
9.2.2,Decorator,,"A special syntax that adds functionality to the function, method, or class that follows"
9.2.2,Property,,A Python attribute that is managed using getter and setter methods
9.2.2,Getter method,,A method that manages accessing an attribute
9.2.2,Setter method,,A method that manages modifying an attribute
9.2.2,Read-only attribute,,An attribute that can be accessed but not modified
9.3.1,Composition,,Nesting an instance of a class inside an instance of another class
9.3.1,Composite,,An instance containing an instance of another class as an attribute
9.3.1,Component,,An instance that is used as an attribute by an instance of another class
9.4.1,Inheritance,,Defining a class that receives the attributes and methods of another class as a starting point
9.4.1,Superclass,,A class that provides its attributes and methods to a subclass
9.4.1,Subclass,,A class that inherits attributes and methods from a superclass
9.4.1,Override,,Define a name in a subclass that replaces the same name in the superclass
9.4.T1,Abstract class,,A class that can only be used as a superclass
9.4.T1,Abstract method,,A method placeholder in an abstract class that must be overridden by its subclasses
9.5.1,Automated test,,Any test that is completed by a computer
9.5.1,Unit test,,A check that ensures an individual piece of code produces the expected results
9.5.1,Test case,,Code that checks whether a given input produces the expected output
9.5.1,Edge case,,An unexpected or unlikely sequence of actions performed by a user
9.5.1,Assertion,,A code expression that reports a failure if it doesn't evaluate to True
9.5.1,Test suite,,A group of related tests containing one or more test classes that can be evaluated together
